caldt,vwretd
19740228,-0.001913
19740301,-0.007112
19740304,0.000302
19740305,0.019017
19740306,0.006775
19740307,-0.010629
19740308,0.008925
19740311,0.011427
19740312,0.002862
19740313,0.005902
19740314,-0.000736
19740315,-0.003721
19740318,-0.012910
19740319,-0.008342
19740320,0.003652
19740321,-0.001961
19740322,-0.000750
19740325,0.004088
19740326,0.003165
19740327,-0.014061
19740328,-0.018395
19740329,-0.008739
19740401,-0.007543
19740402,0.000944
19740403,0.010585
19740404,0.000067
19740405,-0.013973
19740408,-0.010388
19740409,0.006436
19740410,-0.002258
19740411,-0.003029
19740415,-0.000640
19740416,0.017622
19740417,0.007298
19740418,0.004534
19740419,-0.010963
19740422,-0.003952
19740423,-0.016762
19740424,-0.016380
19740425,-0.008113
19740426,0.006888
19740429,-0.001580
19740430,0.003862
19740501,0.021602
19740502,-0.000948
19740503,-0.008680
19740506,-0.000521
19740507,0.003822
19740508,0.002909
19740509,0.014620
19740510,-0.015696
19740513,-0.008544
19740514,0.000617
19740515,-0.002380
19740516,-0.008098
19740517,-0.016787
19740520,-0.003770
19740521,0.000768
19740522,-0.009101
19740523,0.002372
19740524,0.016295
19740528,-0.002159
19740529,-0.016814
19740530,0.006406
19740531,-0.001710
19740603,0.021235
19740604,0.011976
19740605,0.001812
19740606,0.018494
19740607,0.006370
19740610,0.006304
19740611,-0.008825
19740612,-0.002350
19740613,0.002854
19740614,-0.011066
19740617,-0.013632
19740618,-0.006602
19740619,-0.006670
19740620,-0.006955
19740621,-0.008550
19740624,0.002882
19740625,0.014713
19740626,-0.015654
19740627,-0.014541
19740628,-0.003605
19740701,0.000360
19740702,-0.020147
19740703,-0.000492
19740705,-0.006833
19740708,-0.030751
19740709,0.004891
19740710,-0.018464
19740711,-0.001415
19740712,0.040839
19740715,0.007819
19740716,-0.011657
19740717,0.010968
19740718,0.000954
19740719,-0.002926
19740722,0.003393
19740723,0.010000
19740724,0.003907
19740725,-0.011903
19740726,-0.018771
19740729,-0.017419
19740730,-0.005158
19740731,-0.014576
19740801,-0.006576
19740802,-0.001914
19740805,0.010040
19740806,0.016358
19740807,0.026724
19740808,-0.012573
19740809,-0.008193
19740812,-0.013404
19740813,-0.015670
19740814,-0.022069
19740815,-0.005385
19740816,-0.007897
19740819,-0.013992
19740820,0.005027
19740821,-0.019180
19740822,-0.009390
19740823,-0.016066
19740826,0.009061
19740827,-0.016116
19740828,-0.002591
19740829,-0.010795
19740830,0.031171
19740903,-0.022666
19740904,-0.025677
19740905,0.032149
19740906,0.007591
19740909,-0.023677
19740910,-0.006518
19740911,-0.010063
19740912,-0.026799
19740913,-0.022625
19740916,0.016577
19740917,0.017471
19740918,0.004760
19740919,0.035148
19740920,0.000724
19740923,-0.010399
19740924,-0.020100
19740925,-0.006005
19740926,-0.016530
19740927,-0.023107
19740930,-0.021476
19741001,-0.002417
19741002,-0.000110
19741003,-0.017206
19741004,0.001226
19741007,0.041883
19741008,-0.001601
19741009,0.046265
19741010,0.029047
19741011,0.019666
19741014,0.022458
19741015,-0.017864
19741016,-0.015750
19741017,0.012291
19741018,0.015658
19741021,0.017256
19741022,-0.005147
19741023,-0.028915
19741024,-0.011363
19741025,-0.001331
19741028,0.000195
19741029,0.039859
19741030,0.021095
19741031,-0.005526
19741101,0.000585
19741104,-0.009562
19741105,0.027715
19741106,-0.004079
19741107,0.006645
19741108,-0.003488
19741111,0.003258
19741112,-0.019488
19741113,-0.004182
19741114,-0.004015
19741115,-0.015988
19741118,-0.036182
19741119,-0.015278
19741120,-0.004098
19741121,0.004251
19741122,0.011170
19741125,0.000701
19741126,0.009432
19741127,0.006716
19741129,0.000629
19741202,-0.026553
19741203,-0.013811
19741204,0.003572
19741205,-0.019134
19741206,-0.017209
19741209,0.009394
19741210,0.026004
19741211,0.006289
19741212,-0.003256
19741213,-0.005404
19741216,-0.008929
19741217,0.016824
19741218,0.004652
19741219,-0.003644
19741220,-0.010726
19741223,-0.014274
19741224,0.014224
19741226,0.008661
19741227,-0.004346
19741230,0.000377
19741231,0.021130
19750102,0.024566
19750103,0.006838
19750106,0.005172
19750107,-0.000676
19750108,-0.013971
19750109,0.016439
19750110,0.020269
19750113,-0.004171
19750114,-0.008568
19750115,0.006675
19750116,-0.001449
19750117,-0.015103
19750120,0.001739
19750121,-0.005374
19750122,0.014762
19750123,0.004639
19750124,0.012382
19750127,0.035144
19750128,0.003238
19750129,0.016023
19750130,-0.013724
19750131,0.010152
19750203,0.012363
19750204,-0.002135
19750205,0.018139
19750206,-0.003788
19750207,0.001305
19750210,-0.003305
19750211,0.002843
19750212,0.017193
19750213,0.013544
19750214,0.006699
19750218,-0.006837
19750219,0.006435
19750220,0.009780
19750221,0.005947
19750224,-0.014078
19750225,-0.023115
19750226,0.010385
19750227,0.004993
19750228,0.010014
19750303,0.017832
19750304,0.007010
19750305,-0.007904
19750306,0.009538
19750307,0.007054
19750310,0.008003
19750311,-0.006571
19750312,-0.009336
19750313,0.001852
19750314,0.012282
19750317,0.015345
19750318,-0.010294
19750319,-0.009248
19750320,-0.008842
19750321,-0.002558
19750324,-0.023246
19750325,0.007959
19750326,0.018613
19750327,0.003110
19750331,-0.005763
19750401,-0.008785
19750402,-0.002619
19750403,-0.011186
19750404,-0.007365
19750407,-0.006512
19750408,0.007898
19750409,0.023101
19750410,0.011278
19750411,0.004899
19750414,0.017173
19750415,0.008283
19750416,0.003467
19750417,0.007365
19750418,-0.010865
19750421,0.010883
19750422,-0.001585
19750423,-0.011159
19750424,-0.000771
19750425,0.006864
19750428,-0.004159
19750429,-0.006507
19750430,0.019835
19750501,0.009412
19750502,0.012837
19750505,0.010372
19750506,-0.015164
19750507,0.005025
19750508,0.005968
19750509,0.011501
19750512,0.001206
19750513,0.010838
19750514,0.007794
19750515,-0.009400
19750516,-0.010739
19750519,0.001415
19750520,-0.005088
19750521,-0.011121
19750522,0.004242
19750523,0.013902
19750527,-0.001280
19750528,-0.007079
19750529,-0.000157
19750530,0.016470
19750602,0.016065
19750603,0.003411
19750604,-0.002863
19750605,0.000968
19750606,-0.002326
19750609,-0.013468
19750610,-0.008195
19750611,0.001199
19750612,-0.005292
19750613,0.004741
19750616,0.010453
19750617,-0.009396
19750618,-0.002039
19750619,0.018317
19750620,0.006371
19750623,0.011102
19750624,0.006278
19750625,0.004561
19750626,0.001810
19750627,0.000056
19750630,0.004189
19750701,-0.003597
19750702,-0.007058
19750703,0.002090
19750707,-0.008546
19750708,-0.001550
19750709,0.015023
19750710,-0.000027
19750711,-0.001565
19750714,0.005867
19750715,0.004560
19750716,-0.010385
19750717,-0.010311
19750718,-0.004673
19750721,-0.008018
19750722,-0.010743
19750723,-0.013838
19750724,-0.001146
19750725,-0.008600
19750728,-0.006331
19750729,-0.005354
19750730,0.007745
19750731,-0.000695
19750801,-0.008509
19750804,-0.008951
19750805,-0.010406
19750806,0.000898
19750807,0.001090
19750808,-0.002976
19750811,0.006904
19750812,0.006645
19750813,-0.013354
19750814,-0.004326
19750815,0.008953
19750818,-0.001542
19750819,-0.014631
19750820,-0.020339
19750821,-0.001586
19750822,0.015650
19750825,0.009719
19750826,-0.012668
19750827,0.005765
19750828,0.023527
