KYTREASNOX,MCALDT,TMYTM
2000001,1/31/1973,5.5713958
2000001,2/28/1973,5.579419263
2000001,3/30/1973,5.87491359
2000001,4/30/1973,5.987001949
2000001,5/31/1973,6.526641041
2000001,6/29/1973,7.435697157
2000001,7/31/1973,8.31182573
2000001,8/31/1973,8.581276902
2000001,9/28/1973,7.335158262
2000001,10/31/1973,6.928195619
2000001,11/30/1973,7.44744155
2000001,12/31/1973,7.363522061
2000001,1/31/1974,7.550333681
2000001,2/28/1974,7.376721753
2000001,3/29/1974,8.499502314
2000001,4/30/1974,8.7712717
2000001,5/31/1974,7.83378472
2000001,6/28/1974,7.680673134
2000001,7/31/1974,7.714542796
2000001,8/30/1974,9.215119446
2000001,9/30/1974,6.170482096
2000001,10/31/1974,6.672387473
2000001,11/29/1974,7.498498524
2000001,12/31/1974,6.536854894
2000001,1/31/1975,5.539994396
2000001,2/28/1975,4.755528236
2000001,3/31/1975,5.273898732
2000001,4/30/1975,5.213901662
2000001,5/30/1975,4.856377345
2000001,6/30/1975,5.650760335
2000001,7/31/1975,6.029751322
2000001,8/29/1975,5.968098304
2000001,9/30/1975,6.292235264
2000001,10/31/1975,5.315795001
2000001,11/28/1975,5.183707452
2000001,12/31/1975,5.172030836
2000001,1/30/1976,4.521299487
2000001,2/27/1976,4.653650321
2000001,3/31/1976,4.755533627
2000001,4/30/1976,4.693780694
2000001,5/28/1976,5.060401979
2000001,6/30/1976,5.296169644
2000001,7/30/1976,5.081438599
2000001,8/31/1976,4.764475863
2000001,9/30/1976,5.081799684
2000001,10/29/1976,4.755517453
2000001,11/30/1976,4.347199536
2000001,12/31/1976,4.256614426
2000001,1/31/1977,4.551038439
2000001,2/28/1977,4.42887475
2000001,3/31/1977,4.541416093
2000001,4/29/1977,4.388419741
2000001,5/31/1977,4.835090151
2000001,6/30/1977,4.949368002
2000001,7/29/1977,5.346332523
2000001,8/31/1977,5.377698643
2000001,9/30/1977,5.815163636
2000001,10/31/1977,5.824002823
2000001,11/30/1977,5.693750452
2000001,12/30/1977,5.75402501
2000001,1/31/1978,5.996720854
2000001,2/28/1978,6.088425174
2000001,3/31/1978,6.497225357
