date,TCMNOM_Y1
19740513,8.83
19740514,8.92
19740515,8.67
19740516,8.65
19740517,8.73
19740520,8.71
19740521,8.56
19740522,8.39
19740523,8.35
19740524,8.27
19740527,
19740528,8.42
19740529,8.52
19740530,8.5
19740531,8.71
19740603,8.81
19740604,8.61
19740605,8.65
19740606,8.57
19740607,8.51
19740610,8.48
19740611,8.52
19740612,8.62
19740613,8.77
19740614,8.74
19740617,8.57
19740618,8.66
19740619,8.59
19740620,8.58
19740621,8.61
19740624,8.72
19740625,8.83
19740626,8.78
19740627,8.9
19740628,8.87
19740701,9
19740702,9
19740703,9.07
19740704,
19740705,9.1
19740708,9.2
19740709,9.13
19740710,9.05
19740711,8.98
19740712,8.65
19740715,8.56
19740716,8.65
19740717,8.62
19740718,8.63
19740719,8.6
19740722,8.5
19740723,8.47
19740724,8.34
19740725,8.44
19740726,8.7
19740729,8.77
19740730,9.03
19740731,9
19740801,9.13
19740802,9.21
19740805,9.09
19740806,8.99
19740807,9.09
19740808,9.09
19740809,9.16
19740812,9.13
19740813,9.15
19740814,9.13
19740815,9.02
19740816,9.01
19740819,9.05
19740820,9.21
19740821,9.42
19740822,9.93
19740823,10.03
19740826,10
19740827,9.82
19740828,9.82
19740829,9.77
19740830,9.73
19740902,
19740903,9.73
19740904,9.71
19740905,9.54
19740906,9.37
19740909,9.04
19740910,9.13
19740911,8.98
19740912,9.21
19740913,9.09
19740916,8.66
19740917,8.77
19740918,8.78
19740919,8.7
19740920,8.51
19740923,8.48
19740924,8.49
19740925,8.47
19740926,8.4
19740927,8.22
19740930,8.21
19741001,8.32
19741002,8.39
19741003,8.42
19741004,8.21
19741007,7.79
19741008,7.81
19741009,8.01
19741010,8.13
19741011,8.09
19741014,
19741015,8.08
19741016,8.19
19741017,8.16
19741018,7.93
19741021,7.83
19741022,7.84
19741023,7.88
19741024,7.93
19741025,7.96
19741028,8.11
19741029,8.01
19741030,7.99
19741031,7.93
19741101,7.96
19741104,7.93
19741105,
19741106,7.78
19741107,7.74
19741108,7.75
19741111,
19741112,7.69
19741113,7.66
19741114,7.51
19741115,7.48
19741118,7.56
19741119,7.57
19741120,7.53
19741121,7.57
19741122,7.54
19741125,7.56
19741126,7.63
19741127,7.68
19741128,
19741129,7.66
19741202,7.74
19741203,7.62
19741204,7.49
19741205,7.49
19741206,7.41
19741209,7.24
19741210,7.31
19741211,7.21
19741212,7.24
19741213,7.18
19741216,7.08
19741217,7.02
19741218,7.09
19741219,7.14
19741220,7.15
19741223,7.31
19741224,7.36
19741225,
19741226,7.31
19741227,7.34
19741230,7.35
19741231,7.35
19750101,
19750102,7.27
19750103,7.19
19750106,7.1
19750107,7
19750108,6.95
19750109,6.97
19750110,7.01
19750113,7.07
19750114,6.99
19750115,7.08
19750116,7.01
19750117,6.97
19750120,6.99
19750121,6.81
19750122,6.69
19750123,6.53
19750124,6.5
19750127,6.47
19750128,6.45
19750129,6.45
19750130,6.45
19750131,6.36
19750203,6.08
19750204,6.02
19750205,5.64
19750206,5.9
19750207,5.99
19750210,6.17
19750211,6.1
19750212,
19750213,6.07
19750214,5.94
19750217,
19750218,5.82
19750219,5.81
19750220,5.88
19750221,5.92
19750224,5.99
19750225,6.11
19750226,6.16
19750227,6.11
19750228,6.01
19750303,6.09
19750304,6.1
19750305,6.02
19750306,5.99
19750307,6.11
19750310,6.06
19750311,6
19750312,5.99
19750313,5.97
19750314,5.97
19750317,6.03
19750318,6.04
19750319,6.11
19750320,6.1
19750321,6.19
19750324,6.22
19750325,6.22
19750326,6.28
19750327,6.25
19750328,
19750331,6.36
19750401,6.53
19750402,6.79
19750403,6.73
19750404,6.86
19750407,7.15
19750408,7.01
19750409,6.89
19750410,6.89
19750411,6.9
19750414,6.89
19750415,6.82
19750416,6.71
19750417,6.84
19750418,6.9
19750421,7.04
19750422,7.09
19750423,7.02
19750424,6.99
19750425,6.97
19750428,7.07
19750429,6.92
19750430,6.88
19750501,6.93
19750502,6.64
19750505,6.62
19750506,6.68
19750507,6.65
19750508,6.6
19750509,6.52
19750512,6.35
19750513,6.28
19750514,6.26
19750515,6.33
19750516,6.27
19750519,6.2
19750520,6.17
19750521,6.17
19750522,6.24
19750523,6.25
19750526,
19750527,6.26
19750528,6.36
19750529,6.32
19750530,6.08
19750602,6.2
19750603,6.22
19750604,6.2
19750605,6.22
19750606,6.18
19750609,6.01
19750610,5.98
19750611,5.81
19750612,5.8
19750613,5.83
19750616,5.82
19750617,6.03
19750618,6.23
19750619,6.33
19750620,6.6
19750623,6.58
19750624,6.69
19750625,6.76
19750626,6.87
19750627,6.82
19750630,6.85
19750701,6.9
19750702,6.96
19750703,6.96
19750704,
19750707,7.01
19750708,6.89
19750709,6.97
19750710,6.98
19750711,6.95
19750714,6.88
19750715,6.92
19750716,7
19750717,7.01
19750718,7.05
19750721,7.19
19750722,7.3
19750723,7.31
19750724,7.33
19750725,7.39
19750728,7.4
19750729,7.36
19750730,7.34
19750731,7.38
19750801,7.44
19750804,7.5
19750805,7.57
19750806,7.6
19750807,7.78
19750808,7.71
19750811,7.59
19750812,7.65
19750813,7.77
19750814,7.8
19750815,7.82
19750818,7.8
19750819,7.73
19750820,7.79
19750821,7.86
19750822,7.8
19750825,7.84
19750826,7.77
19750827,7.7
19750828,7.66
19750829,7.56
19750901,
19750902,7.6
19750903,7.62
19750904,7.61
19750905,7.64
19750908,7.59
19750909,7.64
19750910,7.65
19750911,7.79
19750912,7.81
19750915,7.88
19750916,7.96
19750917,7.93
19750918,7.86
19750919,7.76
19750922,7.74
19750923,7.73
19750924,7.67
19750925,7.76
19750926,7.84
19750929,7.84
19750930,7.83
19751001,7.76
19751002,7.69
19751003,7.38
19751006,7.28
19751007,7.39
19751008,7.3
19751009,7.27
19751010,7.03
19751013,
19751014,7.07
19751015,7.12
19751016,6.92
19751017,6.88
19751020,6.85
19751021,6.71
19751022,6.73
19751023,6.7
19751024,6.64
19751027,6.64
19751028,6.63
19751029,6.43
19751030,6.22
19751031,6.27
19751103,6.34
19751104,
19751105,6.3
19751106,6.31
19751107,6.23
19751110,6.22
19751111,
19751112,6.3
19751113,6.4
19751114,6.58
19751117,6.51
19751118,6.52
19751119,6.57
19751120,6.54
19751121,6.76
19751124,6.64
19751125,6.7
19751126,6.68
19751127,
19751128,6.68
19751201,6.66
19751202,6.67
19751203,6.69
19751204,6.89
19751205,6.85
19751208,6.89
19751209,6.98
19751210,6.94
19751211,6.82
19751212,6.79
19751215,6.76
19751216,6.77
19751217,6.64
19751218,6.64
19751219,6.44
19751222,6.4
19751223,6.38
19751224,6.32
19751225,
19751226,6.17
19751229,6.23
19751230,6.13
19751231,6.16
19760101,
19760102,6.2
19760105,6.24
19760106,6.03
19760107,5.92
19760108,5.91
19760109,5.71
19760112,5.69
19760113,5.73
19760114,5.77
19760115,5.8
19760116,5.85
19760119,5.75
19760120,5.77
19760121,5.75
19760122,5.77
19760123,5.65
19760126,5.7
19760127,5.7
19760128,5.69
19760129,5.64
19760130,5.65
19760202,5.7
19760203,5.77
19760204,5.92
19760205,5.85
19760206,5.86
19760209,5.79
19760210,5.83
19760211,5.82
19760212,
19760213,5.85
19760216,
19760217,5.9
19760218,5.96
19760219,6
19760220,5.97
19760223,5.92
19760224,5.97
19760225,5.98
19760226,6.04
19760227,6.21
19760301,6.42
19760302,6.39
19760303,6.39
19760304,6.47
19760305,6.3
19760308,6.23
19760309,6.25
19760310,6.22
19760311,6.28
19760312,6.18
19760315,6.28
19760316,6.27
19760317,6.22
19760318,6.19
19760319,6.18
19760322,6.09
19760323,6.08
19760324,6.05
19760325,6.04
19760326,6.05
19760329,6.07
19760330,6.1
19760331,6.11
19760401,6.2
19760402,6.11
19760405,6.01
19760406,5.95
19760407,6
19760408,5.93
19760409,5.9
19760412,5.8
19760413,5.7
19760414,5.74
19760415,5.76
19760416,
19760419,5.8
19760420,5.81
19760421,5.74
19760422,5.83
19760423,6.02
19760426,6.01
19760427,6
19760428,5.95
19760429,5.99
19760430,6.14
19760503,6.04
19760504,6.06
19760505,6.06
19760506,6.13
19760507,6.15
19760510,6.18
19760511,6.22
19760512,6.31
19760513,6.31
19760514,6.42
19760517,6.45
19760518,6.42
19760519,6.52
19760520,6.65
19760521,6.66
19760524,6.6
19760525,6.59
19760526,6.69
19760527,6.82
19760528,6.75
19760531,
19760601,6.7
19760602,6.72
19760603,6.73
19760604,6.6
19760607,6.51
19760608,6.55
19760609,6.53
19760610,6.53
19760611,6.49
19760614,6.44
19760615,6.47
19760616,6.52
19760617,6.51
19760618,6.46
19760621,6.45
19760622,6.48
19760623,6.46
19760624,6.43
19760625,6.45
19760628,6.5
19760629,6.47
19760630,6.46
19760701,6.46
19760702,6.43
19760705,
19760706,6.38
19760707,6.39
19760708,6.25
19760709,6.11
19760712,6.07
19760713,6.13
19760714,6.14
19760715,6.06
19760716,6.2
19760719,6.16
19760720,6.24
19760721,6.26
19760722,6.24
19760723,6.15
19760726,6.14
19760727,6.1
19760728,6.1
19760729,6.08
19760730,6.12
19760802,6.12
19760803,6.1
19760804,6.11
19760805,6.15
19760806,6.02
19760809,6.02
19760810,6.03
19760811,5.98
19760812,6.04
19760813,6.01
19760816,5.98
19760817,5.99
19760818,6
19760819,6
19760820,6.02
19760823,5.98
19760824,5.93
19760825,5.9
19760826,5.89
19760827,5.97
19760830,5.92
19760831,5.9
19760901,5.89
19760902,5.93
19760903,5.9
19760906,
19760907,5.87
19760908,5.87
19760909,5.91
19760910,5.92
19760913,5.94
19760914,5.92
19760915,5.93
19760916,5.85
19760917,5.69
19760920,5.77
19760921,5.69
19760922,5.74
19760923,5.76
19760924,5.86
19760927,5.86
19760928,5.81
19760929,5.84
19760930,5.78
19761001,5.72
19761004,5.68
19761005,5.73
19761006,5.67
19761007,5.6
19761008,5.47
19761011,
19761012,5.46
19761013,5.45
19761014,5.32
19761015,5.29
19761018,5.29
19761019,5.4
19761020,5.4
19761021,5.44
19761022,5.5
19761025,5.54
19761026,5.51
19761027,5.46
19761028,5.5
19761029,5.5
19761101,5.46
19761102,
19761103,5.5
19761104,5.38
19761105,5.45
19761108,5.53
19761109,5.54
19761110,5.48
19761111,
19761112,5.48
19761115,5.45
19761116,5.35
19761117,5.33
19761118,5.36
19761119,5.14
19761122,5.09
19761123,5.11
19761124,5.1
19761125,
19761126,4.91
19761129,4.98
19761130,4.95
19761201,4.93
19761202,4.92
19761203,4.84
19761206,4.94
19761207,4.92
19761208,4.96
19761209,4.94
19761210,4.87
19761213,4.92
19761214,4.91
19761215,4.9
19761216,4.92
19761217,4.89
19761220,4.82
19761221,4.89
19761222,4.86
19761223,4.87
19761224,
19761227,4.86
19761228,4.9
19761229,4.87
19761230,4.86
19761231,4.86
19770103,4.88
19770104,5
19770105,4.96
19770106,5.01
19770107,5.24
19770110,5.21
19770111,5.24
19770112,5.2
19770113,5.14
19770114,5.31
19770117,5.35
19770118,5.42
19770119,5.36
19770120,5.36
19770121,5.39
19770124,5.47
19770125,5.44
19770126,5.45
19770127,5.57
19770128,5.55
19770131,5.56
19770201,5.55
19770202,5.66
19770203,5.65
19770204,5.44
19770207,5.41
19770208,5.42
19770209,5.39
19770210,5.41
19770211,5.36
19770214,5.36
19770215,5.39
19770216,5.4
19770217,5.33
19770218,5.38
19770221,
19770222,5.46
19770223,5.5
19770224,5.62
19770225,5.59
19770228,5.56
19770301,5.62
19770302,5.54
19770303,5.53
19770304,5.52
19770307,5.54
19770308,5.54
19770309,5.53
19770310,5.54
19770311,5.45
19770314,5.44
19770315,5.47
19770316,5.49
19770317,5.55
19770318,5.5
19770321,5.48
19770322,5.47
19770323,5.46
19770324,5.5
19770325,5.53
19770328,5.48
19770329,5.48
19770330,5.45
19770331,5.4
19770401,5.42
19770404,5.43
19770405,5.43
19770406,5.43
19770407,5.41
19770408,
19770411,5.36
19770412,5.46
19770413,5.4
19770414,5.33
19770415,5.38
19770418,5.34
19770419,5.42
19770420,5.43
19770421,5.42
19770422,5.46
19770425,5.55
19770426,5.5
19770427,5.51
19770428,5.54
19770429,5.6
19770502,5.7
19770503,5.63
19770504,5.6
19770505,5.65
19770506,5.77
19770509,5.8
19770510,5.85
19770511,5.92
19770512,5.88
19770513,5.88
19770516,5.88
19770517,5.9
19770518,5.9
19770519,5.97
19770520,6
19770523,5.97
19770524,5.92
19770525,5.88
19770526,5.92
19770527,5.84
19770530,
19770531,5.86
19770601,5.85
19770602,5.86
19770603,5.85
19770606,5.84
19770607,5.84
19770608,5.83
19770609,5.84
19770610,5.82
19770613,5.81
19770614,5.77
19770615,5.82
19770616,5.82
19770617,5.8
19770620,5.78
19770621,5.81
19770622,5.82
19770623,5.84
19770624,5.7
19770627,5.72
19770628,5.7
19770629,5.72
19770630,5.72
19770701,5.72
19770704,
19770705,5.78
19770706,5.8
19770707,5.82
19770708,5.83
19770711,5.85
19770712,5.86
19770713,5.87
19770714,
19770715,5.92
19770718,5.99
19770719,5.95
19770720,6
19770721,6.03
19770722,6
19770725,5.98
19770726,5.96
19770727,6.04
19770728,6.18
19770729,6.22
19770801,6.19
19770802,6.28
19770803,6.24
19770804,6.24
19770805,6.26
19770808,6.23
19770809,6.31
19770810,6.33
19770811,6.38
19770812,6.46
19770815,6.48
19770816,6.52
19770817,6.48
19770818,6.47
19770819,6.47
19770822,6.46
19770823,6.43
19770824,6.42
19770825,6.4
19770826,6.38
19770829,6.35
19770830,6.36
19770831,6.36
19770901,6.36
19770902,6.32
19770905,
19770906,6.33
19770907,6.35
19770908,6.37
19770909,6.59
19770912,6.62
19770913,6.6
19770914,6.57
19770915,6.55
19770916,6.49
19770919,6.46
19770920,6.51
19770921,6.52
19770922,6.63
19770923,6.62
19770926,6.68
19770927,6.6
19770928,6.62
19770929,6.61
19770930,6.66
19771003,6.72
19771004,6.73
19771005,6.77
19771006,6.83
19771007,6.88
19771010,
19771011,6.97
19771012,7.08
19771013,7.09
19771014,7.05
19771017,7.09
19771018,7.1
19771019,7.07
19771020,7.03
19771021,7.04
19771024,7
19771025,6.98
19771026,6.96
19771027,6.94
19771028,6.92
19771031,7.05
19771101,7.05
19771102,7.06
19771103,7.05
19771104,7.04
19771107,7.02
19771108,
19771109,6.98
19771110,6.97
19771111,
19771114,6.92
19771115,6.94
19771116,6.92
19771117,6.91
19771118,6.89
19771121,6.92
19771122,6.92
19771123,6.9
19771124,
19771125,6.9
19771128,6.91
19771129,6.92
19771130,6.92
19771201,6.92
19771202,6.9
19771205,6.9
19771206,6.93
19771207,6.97
19771208,6.96
19771209,6.95
19771212,6.96
19771213,6.94
19771214,6.93
19771215,6.93
19771216,6.93
19771219,6.92
19771220,6.94
19771221,6.96
19771222,7.02
19771223,7.01
19771226,
19771227,7.01
19771228,7.03
19771229,7.02
19771230,6.98
19780102,
19780103,7
19780104,7
19780105,7.04
19780106,7.07
19780109,7.42
19780110,7.42
19780111,7.5
19780112,7.43
19780113,7.38
19780116,7.36
19780117,7.34
19780118,7.35
19780119,7.32
19780120,7.31
19780123,7.3
19780124,7.3
19780125,7.31
19780126,7.29
19780127,7.28
19780130,7.27
19780131,7.26
19780201,7.27
19780202,7.29
19780203,7.3
19780206,7.33
19780207,7.33
19780208,7.3
19780209,7.3
19780210,7.31
19780213,
19780214,7.34
19780215,7.37
19780216,7.42
19780217,7.37
19780220,
19780221,7.41
19780222,7.39
19780223,7.37
19780224,7.34
19780227,7.32
19780228,7.32
19780301,7.35
19780302,7.37
19780303,7.36
19780306,7.31
19780307,7.28
19780308,7.27
19780309,7.28
19780310,7.3
19780313,7.29
19780314,7.3
19780315,7.28
19780316,7.27
19780317,7.26
19780320,7.2
19780321,7.23
19780322,7.26
19780323,7.29
19780324,
19780327,7.34
19780328,7.33
19780329,7.36
19780330,7.42
19780331,7.48
19780403,7.4
19780404,7.39
19780405,7.47
19780406,7.46
19780407,7.43
19780410,7.44
19780411,7.44
19780412,7.41
19780413,7.4
19780414,7.29
19780417,7.31
19780418,7.31
19780419,7.48
19780420,7.51
19780421,7.49
19780424,7.47
19780425,7.47
19780426,7.52
19780427,7.7
19780428,7.7
19780501,7.68
19780502,7.68
19780503,7.65
19780504,7.64
19780505,7.74
19780508,7.74
19780509,7.76
19780510,7.79
19780511,7.79
19780512,7.84
19780515,7.84
19780516,7.84
19780517,7.8
19780518,7.9
19780519,7.92
19780522,7.93
19780523,7.9
19780524,7.92
19780525,7.97
19780526,7.95
19780529,
19780530,
19780531,7.94
19780601,7.93
19780602,7.88
19780605,7.85
19780606,7.86
19780607,7.89
19780608,7.9
19780609,7.96
19780612,7.99
19780613,8
19780614,8
19780615,8.02
19780616,8.12
19780619,8.11
19780620,8.15
19780621,8.21
19780622,8.28
19780623,8.34
19780626,8.33
19780627,8.3
19780628,8.28
19780629,8.3
19780630,8.38
19780703,8.32
19780704,
19780705,8.33
19780706,8.31
19780707,8.4
19780710,8.41
19780711,8.41
19780712,8.41
19780713,8.44
19780714,8.41
19780717,8.39
19780718,8.36
19780719,8.36
19780720,8.52
19780721,8.49
19780724,8.44
19780725,8.42
19780726,8.41
19780727,8.36
19780728,8.31
19780731,8.33
19780801,8.29
19780802,8.2
19780803,8.16
19780804,8.16
19780807,8.1
19780808,8.08
19780809,8.09
19780810,8.2
19780811,8.2
19780814,8.21
19780815,8.24
19780816,8.44
19780817,8.46
19780818,8.53
19780821,8.47
19780822,8.44
19780823,8.35
19780824,8.38
19780825,8.35
19780828,8.42
19780829,8.45
19780830,8.49
19780831,8.48
19780901,8.5
19780904,
19780905,8.44
19780906,8.43
19780907,8.44
19780908,8.51
19780911,8.52
19780912,8.54
19780913,8.52
19780914,8.59
19780915,8.64
19780918,8.66
19780919,8.67
19780920,8.73
19780921,8.7
19780922,8.84
19780925,8.84
19780926,8.81
19780927,8.81
19780928,8.77
19780929,8.81
19781002,8.86
19781003,8.85
19781004,8.87
19781005,8.89
19781006,8.92
19781009,
19781010,8.91
19781011,8.93
19781012,8.9
19781013,8.98
19781016,9.14
19781017,9.16
19781018,9.13
19781019,9.19
19781020,9.22
19781023,9.15
19781024,9.19
19781025,9.14
19781026,9.3
19781027,9.4
19781030,9.82
19781031,9.92
19781101,9.94
19781102,10.01
19781103,10.07
19781106,10.07
19781107,
19781108,10.18
19781109,10.25
19781110,10.12
19781113,10.1
19781114,10.02
19781115,9.81
19781116,9.82
19781117,9.72
19781120,9.77
19781121,9.89
19781122,9.85
19781123,
19781124,10.15
19781127,10.13
19781128,10.17
19781129,10.12
19781130,10.09
19781201,10.02
19781204,10.11
19781205,10.13
19781206,10.12
19781207,10.19
19781208,10.17
19781211,10.1
19781212,10.06
19781213,10.09
19781214,10.09
19781215,10.25
19781218,10.41
19781219,10.49
19781220,10.52
19781221,10.51
19781222,10.5
19781225,
19781226,10.5
19781227,10.5
19781228,10.58
19781229,10.57
19790101,
19790102,10.58
19790103,10.53
19790104,10.45
19790105,10.46
19790108,10.49
19790109,10.53
19790110,10.52
19790111,10.51
19790112,10.52
19790115,10.52
19790116,10.52
19790117,10.5
19790118,10.51
19790119,10.44
19790122,10.39
19790123,10.4
19790124,10.36
19790125,10.24
19790126,10.17
19790129,10.21
19790130,10.14
19790131,10.13
19790201,10.14
19790202,10.05
19790205,10.13
19790206,10.15
19790207,10.25
19790208,10.2
19790209,10.24
19790212,
19790213,10.2
19790214,10.19
19790215,10.18
19790216,10.18
19790219,
19790220,10.24
19790221,10.32
19790222,10.37
19790223,10.39
19790226,10.37
19790227,10.33
19790228,10.33
19790301,10.41
19790302,10.38
19790305,10.3
19790306,10.32
19790307,10.27
19790308,10.22
19790309,10.38
19790312,10.31
19790313,10.3
19790314,10.32
19790315,10.31
19790316,10.3
19790319,10.27
19790320,10.24
19790321,10.24
19790322,10.21
19790323,10.16
19790326,10.14
19790327,10.11
19790328,10.05
19790329,10.08
19790330,10.17
19790402,10.18
19790403,10.11
19790404,10
19790405,10.02
19790406,10.13
19790409,10.22
19790410,10.25
19790411,10.24
19790412,10.23
19790413,
19790416,10.2
19790417,10.07
19790418,9.95
19790419,9.95
19790420,10.02
19790423,9.97
19790424,10.01
19790425,10.04
19790426,10.17
19790427,10.39
19790430,10.29
19790501,10.24
19790502,10.28
19790503,10.34
19790504,10.33
19790507,10.31
19790508,10.31
19790509,10.29
19790510,10.29
19790511,10.15
19790514,10.13
19790515,10.15
19790516,10.1
19790517,10
19790518,10.06
19790521,10.14
19790522,9.95
19790523,9.95
19790524,9.87
19790525,9.85
19790528,
19790529,9.82
19790530,
19790531,9.91
19790601,9.91
19790604,9.92
19790605,9.79
19790606,9.73
19790607,9.67
19790608,9.58
19790611,9.57
19790612,9.33
19790613,9.39
19790614,9.42
19790615,9.71
19790618,9.59
19790619,9.55
19790620,9.56
19790621,9.67
19790622,9.69
19790625,9.51
19790626,9.4
19790627,9.31
19790628,9.35
19790629,9.4
19790702,9.38
19790703,9.41
19790704,
19790705,9.48
19790706,9.5
19790709,9.58
19790710,9.57
19790711,9.5
19790712,9.49
19790713,9.51
19790716,9.6
19790717,9.6
19790718,9.67
19790719,9.78
19790720,9.85
19790723,9.85
19790724,9.88
19790725,9.81
19790726,9.71
19790727,9.83
19790730,9.77
19790731,9.75
19790801,9.66
19790802,9.71
19790803,9.7
19790806,9.64
19790807,9.66
19790808,9.69
19790809,9.73
19790810,9.88
19790813,9.88
19790814,9.81
19790815,9.97
19790816,10.03
19790817,10.08
19790820,10.05
19790821,10.11
19790822,10.14
19790823,10.13
19790824,10.27
19790827,10.22
19790828,10.26
19790829,10.24
19790830,10.28
19790831,10.4
19790903,
19790904,10.68
19790905,10.69
19790906,10.76
19790907,10.87
19790910,11.02
19790911,10.81
19790912,10.88
19790913,10.97
19790914,10.89
19790917,10.97
19790918,10.99
19790919,10.84
19790920,10.85
19790921,10.78
19790924,10.74
19790925,10.76
19790926,10.84
19790927,10.91
19790928,10.8
19791001,10.9
19791002,10.89
19791003,10.93
19791004,11.11
19791005,11.26
19791008,
19791009,12.28
19791010,12.6
19791011,12.6
19791012,12.53
19791015,12.6
19791016,12.52
19791017,12.36
19791018,12.82
19791019,13.12
19791022,13.41
19791023,13.62
19791024,13.36
19791025,13.38
19791026,12.76
19791029,12.95
19791030,12.88
19791031,12.89
