"","PERMNO","YEAR","RET-bji","RET-yxia"
"102","10006","1949","-4.485971e-01",-0.0261159208019038
"103","10006","1950","-4.821628e-01",0.307693237307103
"104","10006","1951","-2.876590e-01",0.10705482470269
"105","10006","1952","-2.420580e-01",0.151019726500436
"106","10006","1953","-7.271234e-02",-0.0237775044018237
"107","10006","1954"," 1.106119e-02",0.714742168031359
"108","10006","1955"," 7.366259e-01",0.451771953912035
"109","10006","1956","-1.106975e-02",-0.080746000564326
"110","10006","1957","-7.745084e-02",-0.312077049958561
"111","10006","1958","-3.222568e-01",0.379071555947653
"112","10006","1959","-1.202992e-01",0.0599754436882023
"113","10006","1960","-3.630187e-02",-0.170459237049884
"114","10006","1961","-2.183674e-01",0.844457351616403
"115","10006","1962"," 4.250964e-01",0.191937683801044
"116","10006","1963"," 6.860621e-01",0.653182944394231
"117","10006","1964"," 1.759316e+00",0.290089455050115
"118","10006","1965"," 2.643262e+00",0.223277295519639
"119","10006","1966"," 1.005296e-01",-0.151284240365799
"120","10006","1967","-2.060634e-01",0.230253809348597
"121","10006","1968","-5.658456e-02",0.459571610955682
"122","10006","1969"," 4.147744e-01",-0.179925908754081
"123","10006","1970"," 1.544811e-01",-0.0149998524558951
"124","10006","1971"," 1.401659e-01",0.18192515204403
"125","10006","1972"," 3.383313e-01",-0.0282373044081865
"126","10006","1973"," 3.257419e-01",0.286623159794083
"127","10006","1974"," 6.782759e-01",-0.392719461123049
"128","10006","1975"," 8.703430e-02",0.241651438857628
"129","10006","1976"," 9.090853e-02",0.444699990006715
"130","10006","1977"," 3.335920e-01",0.0391971607148698
"131","10006","1978"," 3.788794e-01",-0.0509328156491673
"132","10006","1979"," 3.282669e-01",0.188958831267591
"133","10006","1980"," 5.901624e-01",0.430884592403675
"134","10006","1981"," 7.360000e-07",-0.0551317854878381
"135","10006","1982","-5.260000e-02",-0.12836333908664
"136","10006","1983","-1.810000e-01",0.604703729782742
"137","10006","1984"," 3.040000e-01",0.0602155201586707
"138","10007","1986"," 2.419357e-01",-0.631578543904708
"139","10007","1987","-5.810789e-01",-0.794642702909928
"140","10007","1989"," 3.743740e+04",2.22059414827253
"141","10007","1990","-6.575565e-01",-0.931506856387578
"142","10007","1990"," 5.940000e-02",-0.931506856387578
"143","10008","1986","-3.111079e-02",0.0256403441916226
"144","10008","1987"," 9.174047e-02",-0.299999282220075
"145","10008","1988","-2.293643e-01",1.64286224838417
"146","10009","1986","-5.454608e-02",0.0484607685386478
"147","10009","1987","-1.032880e-01",-0.420072178886025
"148","10009","1988","-4.463645e-01",0.674127705972296
"149","10009","1989"," 9.669000e+03",-0.322409025394698
"150","10009","1990"," 5.172432e-02",-0.0164694447798663
"151","10009","1990","-3.278535e-01",-0.0164694447798663
"152","10009","1992","-6.541160e-02",0.608591298348694
"153","10009","1993"," 1.997201e-01",0.476568368292569
"154","10009","1994"," 8.460973e+03",-0.00442768951063266
"155","10009","1995"," 1.079224e+04",0.656052917381796
"156","10009","1996"," 1.250931e+04",0.274223055467854
"157","10009","1997"," 3.181040e+04",0.538623605494667
"158","10009","1998"," 3.580106e+04",-0.169555499510394
"159","10009","1999"," 4.494396e+04",-0.281361948094172
"160","10009","2000"," 4.843412e+04",1.27725881793081
"161","10009","2001"," 4.788374e+04",NA
"162","10010","1986"," 7.352995e-02",-0.499999888237788
"163","10010","1987","-5.342503e-01",0.65000137864647
"164","10010","1988","-1.232992e-01",0.090909108918013
"165","10010","1989"," 1.362792e+04",0.194444245431521
"166","10010","1990"," 6.980000e-02",2.62790530303679
"167","10010","1990"," 2.054688e-01",2.62790530303679
"168","10010","1992"," 2.120000e+00",-0.159293039795131
"169","10010","1993"," 3.670000e+00",-0.415379224827933
"170","10010","1994"," 7.568991e+04",-0.0222222713823728
"171","10010","1995"," 7.377251e+04",0.637501456852898
"172","10010","1996"," 7.338869e+04",NA
"173","10011","1988"," 1.063780e-02",-0.601064715926294
"174","10011","1989"," 2.716992e+04",-0.026665844053929
"175","10011","1990","-6.197932e-01",0.479453328265638
"176","10011","1992"," 5.890414e-01",0.370371193783397
"177","10011","1993"," 7.260279e-01",0.540540003412825
"178","10011","1994"," 2.026667e+04",1.28070247969543
"179","10011","1995"," 2.231940e+04",-0.276922288068829
"180","10011","1996"," 2.905055e+04",-0.212766969535769
"181","10011","1997"," 1.019196e+05",0.256755526918856
"182","10011","1998"," 9.790785e+04",0.0268820000000001
"183","10011","1999"," 8.894965e+04",NA
"184","10012","1986"," 2.500000e-02",-0.489796216752766
"185","10012","1987","-3.902433e-01",-0.635999792064505
"186","10012","1988","-8.292680e-01",0.269229134125686
"187","10012","1989"," 1.006642e+04",-0.212120398957805
"188","10012","1990","-8.292692e-01",-0.538461492456853
"189","10012","1990","-3.846200e-02",-0.538461492456853
"190","10012","1992","-5.384632e-01",2.66667278765012
"191","10012","1993","-6.538466e-01",1.48484576890144
"192","10012","1994"," 4.933497e+03",-0.121951947762798
"193","10012","1995"," 9.969408e+03",1.91666485360217
"194","10012","1996"," 1.332503e+04",-0.804762152948395
"195","10012","1997"," 1.012901e+05",2.60975031154621
"196","10012","1998"," 6.932079e+04",-0.804053597041237
"197","10012","1999"," 5.822364e+04",7.86206757672525
"198","10012","2000"," 5.014767e+04",-0.750972879043165
"199","10012","2001"," 5.274200e+04",0.559999698730196
"200","10012","2002"," 3.749996e-01",-0.557691873199797
"201","10012","2003"," 1.818128e-01",0.195653192772385
"202","10012","2004"," 4.920078e+04",-0.375757710736376
"203","10012","2005"," 1.818129e-02",-0.83495117783653
"204","10012","2006","-4.912263e-01",NA
"205","10013","1986","-3.333395e-02",-0.793103074806581
"206","10013","1987","-7.931036e-01",NA
"207","10014","1926"," 8.666653e-01",-0.222223108450041
"208","10014","1927"," 7.499987e-01",-0.238095189793421
"209","10014","1928"," 6.428586e-01",7.25001322533845
"210","10014","1929"," 4.785736e+00",-0.0303033535580466
"211","10014","1930"," 4.428581e+00",-0.0937503351507307
"212","10014","1931"," 4.285715e+00",1.04863456299925
"213","10014","1932"," 7.817230e+00",-0.0634437011739309
"214","10014","1933"," 8.239830e+00",0.809134861256404
"215","10014","1934"," 1.427178e+01",-0.104286250164382
"216","10014","1935"," 1.282130e+01",-0.122480906417133
"217","10014","1936"," 5.266688e-02",0.0305157988842963
"218","10014","1937","-2.041725e-02",-0.154103450490396
"219","10014","1938","-1.506365e-01",-0.0148217976412561
"220","10014","1939","-1.590342e-01",-0.305410227459931
"221","10014","1940","-4.054917e-01",-0.189775874167668
"222","10014","1941","-5.146126e-01",-0.617243644858279
"223","10014","1942","-7.916873e-01",1.15384220170381
"224","10014","1943","-6.111543e-01",0.714283684330339
"225","10014","1944","-3.334072e-01",0.0625000392245612
"226","10014","1945","-3.056334e-01",0.352940817097867
"227","10014","1946"," 7.246356e-02",-0.376811367099059
"228","10014","1947","-4.459456e-01",-0.325581528794765
"229","10014","1948","-5.810806e-01",-0.20689629988132
"230","10014","1949","-6.756756e-01",0.0869557525083924
"231","10014","1950","-6.621619e-01",-0.159999954767442
"232","10014","1951","-7.027041e-01",4.21807455186496e-07
"233","10014","1952","-7.027047e-01",0.0476216465451449
"234","10014","1953","-6.891905e-01",-0.272727878749487
"235","10014","1954","-7.702726e-01",0.625001768930252
"236","10014","1955","-5.810887e-01",-0.0769220065686322
"237","10014","1956"," 8.333394e-02",-0.1250019805751
"238","10014","1957","-1.851860e-01",-0.190476682156012
"239","10014","1958","-3.518572e-01",0.882354984776454
"240","10014","1959"," 1.851779e-01",0.124999940568997
"241","10014","1960"," 4.073992e-01",-0.111111614845503
"242","10014","1961"," 1.851792e-01",0.187499213217033
"243","10014","1962"," 3.703597e-01",-0.198684286594253
"244","10014","1963"," 1.277671e-01",-0.206896891540458
"245","10014","1964","-6.667679e-02",-0.130434930916074
"246","10014","1965","-2.222336e-01",0.29999843308339
"247","10014","1966"," 3.850000e-02",0.0769209420475923
"248","10014","1967"," 7.140000e-02",1.85714003057605
"249","10014","1968"," 2.140000e+00",0.575000005265782
"250","10014","1969"," 3.390000e+00",-0.547619239276904
"251","10014","1970"," 1.320000e+00",-0.438595926636859
"252","10014","1971"," 1.070000e-01",0.0624999188489337
"253","10014","1972"," 2.140000e-01",-0.176470835407307
"254","10014","1973","-3.940000e-06",-0.464284987375645
"255","10014","1974","-3.570000e-01",-0.400000638465489
"256","10014","1975","-7.140000e-01",0.66666622309741
"257","10014","1976"," 1.333332e-01",1.40000020801188
"258","10014","1977"," 1.117656e+00",0.0555553189151576
"259","10015","1983","-5.714300e-02",0.1999999153846
"260","10015","1984"," 1.428565e-01",-0.491666838581267
"261","10015","1985","-4.095262e-01",1.65573708160605
"262","10015","1986","-2.469167e-02",0.481480418594044
"263","10016","1986"," 3.360000e-02",0.42471586886279
"264","10016","1987"," 4.150000e-01",0.00440102361625128
"265","10016","1988"," 4.810000e-01",0.406526192306288
"266","10016","1989"," 2.865188e+05",-0.107615751441379
"267","10016","1990"," 1.538492e-02",-0.347483901470536
"268","10016","1990"," 8.080000e-01",-0.347483901470536
"269","10016","1992","-3.464863e-01",0.299971030028337
"270","10016","1993","-3.366748e-01",-0.165568882154925
"271","10016","1994"," 2.400594e+05",-0.550458337522067
"272","10016","1995"," 2.370381e+05",0.693876204274732
"273","10016","1996"," 2.158898e+05",0.156627320677702
"274","10016","1997"," 1.590341e+05",0.0937487773455634
"275","10016","1998"," 1.761548e+05",0.259522630623876
"276","10016","1999"," 1.778549e+05",0.141776492513209
"277","10016","2000"," 1.817506e+05",0.185430651172583
"278","10016","2001"," 2.154849e+05",0.0502788078598144
"279","10016","2002"," 4.190000e-02",NA
"280","10017","1986","-3.428566e-02",-0.230768827145375
"281","10017","1987","-2.397709e-01",0.0461535173981145
"282","10017","1988","-2.046877e-01",0.139705236045339
"283","10018","1986"," 1.492500e-02",-0.720588287411706
"284","10018","1987","-7.164177e-01",-0.763157548743879
"285","10018","1988","-9.402984e-01",-0.388889009599383
"286","10018","1989"," 2.784722e+03",0.636363129186192
"287","10018","1990"," 2.222225e-01",1.50000157743168
"288","10018","1990","-9.216417e-01",1.50000157743168
"289","10018","1992"," 1.045455e+00",0.706665793314268
"290","10018","1993"," 2.409104e+00",-0.562499790364603
"291","10018","1994"," 2.730000e+03",0.142857193485641
"292","10018","1995"," 4.220000e+03",-0.87499996666669
"293","10018","1996"," 4.550000e+03",NA
"294","10019","1986","-6.680000e-07",-0.156757023650972
"295","10019","1987","-1.160000e-01",-0.247115686316994
"296","10019","1988","-3.730000e-01",0.545245961353644
"297","10019","1989"," 5.879810e+04",0.250001921952534
"298","10019","1990"," 1.818209e-02",-0.527271893396154
"299","10019","1990"," 2.540000e-01",-0.527271893396154
"300","10019","1992","-5.438608e-01",0.367345279286807
"301","10019","1993","-5.701774e-01",-0.0746274070460042
"302","10019","1994"," 4.353035e+04",0.225807043661384
"303","10019","1995"," 4.354836e+04",-0.0263163918180195
"304","10019","1996"," 4.335552e+04",0.702703336441853
"305","10019","1997"," 5.171040e+04",0.481579919240359
"306","10019","1998"," 7.520328e+04",-0.701613161387533
"307","10019","1999"," 9.693605e+04",1.17567118528181
"308","10019","2000"," 1.046697e+05",-0.652173407411873
"309","10019","2001"," 9.183834e+04",-0.64285737914364
"310","10019","2002","-2.500005e-01",0.0720007881033142
"311","10019","2003","-6.347828e-01",NA
"312","10020","1986"," 1.206901e-01",0.467985036135369
"313","10020","1987"," 2.613458e-01",0.246956904265557
