caldt,vwretd
11/16/1973,0.014599
11/19/1973,-0.030490
11/20/1973,-0.020180
11/21/1973,0.011528
11/23/1973,-0.002162
11/26/1973,-0.028013
11/27/1973,-0.008736
11/28/1973,0.020333
11/29/1973,-0.003292
11/30/1973,-0.013799
12/03/1973,-0.021112
12/04/1973,-0.003306
12/05/1973,-0.015358
12/06/1973,0.024698
12/07/1973,0.022346
12/10/1973,0.015037
12/11/1973,-0.019426
12/12/1973,-0.025862
12/13/1973,-0.012730
12/14/1973,0.010055
12/17/1973,-0.005801
12/18/1973,0.021496
12/19/1973,0.000799
12/20/1973,-0.003016
12/21/1973,-0.010902
12/24/1973,-0.006754
12/26/1973,0.031023
12/27/1973,0.020958
12/28/1973,-0.001711
12/31/1973,0.000066
01/02/1974,0.001622
01/03/1974,0.021486
01/04/1974,-0.008896
01/07/1974,-0.008302
01/08/1974,-0.019916
01/09/1974,-0.028119
01/10/1974,-0.011050
01/11/1974,0.013950
01/14/1974,-0.002472
01/15/1974,0.008895
01/16/1974,0.015429
01/17/1974,0.017050
01/18/1974,-0.017944
01/21/1974,-0.001386
01/22/1974,0.012137
01/23/1974,0.005218
01/24/1974,-0.002522
01/25/1974,-0.002016
01/28/1974,-0.005379
01/29/1974,-0.000406
01/30/1974,0.011167
01/31/1974,-0.005029
02/01/1974,-0.012942
02/04/1974,-0.020081
02/05/1974,-0.003096
02/06/1974,0.003393
02/07/1974,0.001005
02/08/1974,-0.010007
02/11/1974,-0.017987
02/12/1974,0.003074
02/13/1974,0.000561
02/14/1974,-0.000304
02/15/1974,0.015025
02/19/1974,-0.001466
02/20/1974,0.014626
02/21/1974,0.014555
02/22/1974,0.007270
02/25/1974,-0.003412
02/26/1974,0.010408
02/27/1974,0.004410
02/28/1974,-0.001913
03/01/1974,-0.007112
03/04/1974,0.000302
03/05/1974,0.019017
03/06/1974,0.006775
03/07/1974,-0.010629
03/08/1974,0.008925
03/11/1974,0.011427
03/12/1974,0.002862
03/13/1974,0.005902
03/14/1974,-0.000736
03/15/1974,-0.003721
03/18/1974,-0.012910
03/19/1974,-0.008342
03/20/1974,0.003652
03/21/1974,-0.001961
03/22/1974,-0.000750
03/25/1974,0.004088
03/26/1974,0.003165
03/27/1974,-0.014061
03/28/1974,-0.018395
03/29/1974,-0.008739
04/01/1974,-0.007543
04/02/1974,0.000944
04/03/1974,0.010585
04/04/1974,0.000067
04/05/1974,-0.013973
04/08/1974,-0.010388
04/09/1974,0.006436
04/10/1974,-0.002258
04/11/1974,-0.003029
04/15/1974,-0.000640
04/16/1974,0.017622
04/17/1974,0.007298
04/18/1974,0.004534
04/19/1974,-0.010963
04/22/1974,-0.003952
04/23/1974,-0.016762
04/24/1974,-0.016380
04/25/1974,-0.008113
04/26/1974,0.006888
04/29/1974,-0.001580
04/30/1974,0.003862
05/01/1974,0.021602
05/02/1974,-0.000948
05/03/1974,-0.008680
05/06/1974,-0.000521
05/07/1974,0.003822
05/08/1974,0.002909
05/09/1974,0.014620
05/10/1974,-0.015696
05/13/1974,-0.008544
05/14/1974,0.000617
05/15/1974,-0.002380
05/16/1974,-0.008098
05/17/1974,-0.016787
05/20/1974,-0.003770
05/21/1974,0.000768
05/22/1974,-0.009101
05/23/1974,0.002372
05/24/1974,0.016295
05/28/1974,-0.002159
05/29/1974,-0.016814
05/30/1974,0.006406
05/31/1974,-0.001710
06/03/1974,0.021235
06/04/1974,0.011976
06/05/1974,0.001812
06/06/1974,0.018494
06/07/1974,0.006370
06/10/1974,0.006304
06/11/1974,-0.008825
06/12/1974,-0.002350
06/13/1974,0.002854
06/14/1974,-0.011066
06/17/1974,-0.013632
06/18/1974,-0.006602
06/19/1974,-0.006670
06/20/1974,-0.006955
06/21/1974,-0.008550
06/24/1974,0.002882
06/25/1974,0.014713
06/26/1974,-0.015654
06/27/1974,-0.014541
06/28/1974,-0.003605
07/01/1974,0.000360
07/02/1974,-0.020147
07/03/1974,-0.000492
07/05/1974,-0.006833
07/08/1974,-0.030751
07/09/1974,0.004891
07/10/1974,-0.018464
07/11/1974,-0.001415
07/12/1974,0.040839
07/15/1974,0.007819
07/16/1974,-0.011657
07/17/1974,0.010968
07/18/1974,0.000954
07/19/1974,-0.002926
07/22/1974,0.003393
07/23/1974,0.010000
07/24/1974,0.003907
07/25/1974,-0.011903
07/26/1974,-0.018771
07/29/1974,-0.017419
07/30/1974,-0.005158
07/31/1974,-0.014576
08/01/1974,-0.006576
08/02/1974,-0.001914
08/05/1974,0.010040
08/06/1974,0.016358
08/07/1974,0.026724
08/08/1974,-0.012573
08/09/1974,-0.008193
08/12/1974,-0.013404
08/13/1974,-0.015670
08/14/1974,-0.022069
08/15/1974,-0.005385
08/16/1974,-0.007897
08/19/1974,-0.013992
08/20/1974,0.005027
08/21/1974,-0.019180
08/22/1974,-0.009390
08/23/1974,-0.016066
08/26/1974,0.009061
08/27/1974,-0.016116
08/28/1974,-0.002591
08/29/1974,-0.010795
08/30/1974,0.031171
09/03/1974,-0.022666
09/04/1974,-0.025677
09/05/1974,0.032149
09/06/1974,0.007591
09/09/1974,-0.023677
09/10/1974,-0.006518
09/11/1974,-0.010063
09/12/1974,-0.026799
09/13/1974,-0.022625
09/16/1974,0.016577
09/17/1974,0.017471
09/18/1974,0.004760
09/19/1974,0.035148
09/20/1974,0.000724
09/23/1974,-0.010399
09/24/1974,-0.020100
09/25/1974,-0.006005
09/26/1974,-0.016530
09/27/1974,-0.023107
09/30/1974,-0.021476
10/01/1974,-0.002417
10/02/1974,-0.000110
10/03/1974,-0.017206
10/04/1974,0.001226
10/07/1974,0.041883
10/08/1974,-0.001601
10/09/1974,0.046265
10/10/1974,0.029047
10/11/1974,0.019666
10/14/1974,0.022458
10/15/1974,-0.017864
10/16/1974,-0.015750
10/17/1974,0.012291
10/18/1974,0.015658
10/21/1974,0.017256
10/22/1974,-0.005147
10/23/1974,-0.028915
10/24/1974,-0.011363
10/25/1974,-0.001331
10/28/1974,0.000195
10/29/1974,0.039859
10/30/1974,0.021095
10/31/1974,-0.005526
11/01/1974,0.000585
11/04/1974,-0.009562
11/05/1974,0.027715
11/06/1974,-0.004079
11/07/1974,0.006645
11/08/1974,-0.003488
11/11/1974,0.003258
11/12/1974,-0.019488
11/13/1974,-0.004182
11/14/1974,-0.004015
11/15/1974,-0.015988
11/18/1974,-0.036182
11/19/1974,-0.015278
11/20/1974,-0.004098
11/21/1974,0.004251
11/22/1974,0.011170
11/25/1974,0.000701
11/26/1974,0.009432
11/27/1974,0.006716
11/29/1974,0.000629
12/02/1974,-0.026553
12/03/1974,-0.013811
12/04/1974,0.003572
12/05/1974,-0.019134
12/06/1974,-0.017209
12/09/1974,0.009394
12/10/1974,0.026004
12/11/1974,0.006289
12/12/1974,-0.003256
12/13/1974,-0.005404
12/16/1974,-0.008929
12/17/1974,0.016824
12/18/1974,0.004652
12/19/1974,-0.003644
12/20/1974,-0.010726
12/23/1974,-0.014274
12/24/1974,0.014224
12/26/1974,0.008661
12/27/1974,-0.004346
12/30/1974,0.000377
12/31/1974,0.021130
01/02/1975,0.024566
01/03/1975,0.006838
01/06/1975,0.005172
01/07/1975,-0.000676
01/08/1975,-0.013971
01/09/1975,0.016439
01/10/1975,0.020269
01/13/1975,-0.004171
01/14/1975,-0.008568
01/15/1975,0.006675
01/16/1975,-0.001449
01/17/1975,-0.015103
01/20/1975,0.001739
01/21/1975,-0.005374
01/22/1975,0.014762
01/23/1975,0.004639
01/24/1975,0.012382
01/27/1975,0.035144
01/28/1975,0.003238
01/29/1975,0.016023
01/30/1975,-0.013724
01/31/1975,0.010152
02/03/1975,0.012363
02/04/1975,-0.002135
02/05/1975,0.018139
02/06/1975,-0.003788
02/07/1975,0.001305
02/10/1975,-0.003305
02/11/1975,0.002843
02/12/1975,0.017193
02/13/1975,0.013544
02/14/1975,0.006699
02/18/1975,-0.006837
02/19/1975,0.006435
02/20/1975,0.009780
02/21/1975,0.005947
02/24/1975,-0.014078
02/25/1975,-0.023115
02/26/1975,0.010385
02/27/1975,0.004993
02/28/1975,0.010014
03/03/1975,0.017832
03/04/1975,0.007010
03/05/1975,-0.007904
03/06/1975,0.009538
03/07/1975,0.007054
03/10/1975,0.008003
